,Team,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Houston Rockets,James Harden,28,22,22,35.9,9.7,21.1,.458,4.5,11.0,.405,5.2,10.1,.516,.563,7.9,9.1,.866,0.6,4.5,5.1,9.7,1.7,0.5,4.6,2.6,31.7
1,Houston Rockets,Trevor Ariza,32,20,20,34.0,4.0,9.1,.434,2.6,6.8,.382,1.4,2.3,.587,.577,1.0,1.1,.905,0.6,4.1,4.7,2.1,1.6,0.2,1.1,2.0,11.5
2,Houston Rockets,Eric Gordon,29,20,13,31.5,6.2,15.4,.401,3.1,10.0,.312,3.1,5.4,.565,.502,4.0,4.8,.832,0.2,1.9,2.1,2.6,0.7,0.4,2.5,1.9,19.4
3,Houston Rockets,Ryan Anderson,29,21,20,29.1,4.1,9.1,.453,2.9,7.1,.407,1.2,2.0,.619,.612,1.0,1.3,.815,1.3,4.2,5.5,0.7,0.3,0.4,0.9,1.9,12.2
4,Houston Rockets,Chris Paul,32,8,8,28.8,4.4,10.3,.427,2.1,5.0,.425,2.3,5.3,.429,.530,1.5,1.8,.857,0.6,3.6,4.3,9.8,1.9,0.3,1.8,2.4,12.4
5,Houston Rockets,P.J. Tucker,32,22,2,27.5,2.1,5.1,.411,1.4,3.7,.370,0.7,1.4,.516,.545,0.8,1.0,.810,1.2,4.8,6.0,0.9,1.3,0.3,1.0,2.7,6.3
6,Houston Rockets,Luc Mbah a Moute,31,20,3,26.6,2.8,5.8,.487,1.2,2.9,.404,1.7,2.9,.569,.587,0.9,1.3,.720,0.5,2.9,3.4,1.0,1.4,0.5,1.4,2.1,7.7
7,Houston Rockets,Clint Capela,23,22,22,25.7,5.8,8.7,.661,0.0,0.0,.000,5.8,8.7,.665,.661,1.9,2.9,.656,3.4,8.0,11.4,1.3,0.8,1.8,1.6,2.8,13.5
8,Houston Rockets,Nene Hilario,35,16,0,14.4,2.9,4.4,.662,0.0,0.1,.000,2.9,4.3,.681,.662,2.1,2.8,.750,0.8,2.4,3.2,1.1,0.6,0.4,1.2,2.7,7.9
9,Houston Rockets,Tarik Black,26,17,0,8.8,1.4,2.4,.561,0.0,0.4,.000,1.4,2.1,.657,.561,0.6,0.9,.688,1.0,1.9,2.9,0.4,0.4,0.5,0.6,2.0,3.4
10,Houston Rockets,Bobby Brown,33,16,0,6.4,0.9,3.1,.306,0.6,2.1,.273,0.4,1.0,.375,.398,0.1,0.1,.500,0.0,0.4,0.4,0.6,0.2,0.0,0.5,0.3,2.5
11,Houston Rockets,Demetrius Jackson,23,12,0,5.3,0.3,1.2,.286,0.0,0.5,.000,0.3,0.7,.500,.286,0.0,0.0,,0.3,0.6,0.9,0.4,0.3,0.1,0.8,0.5,0.7
12,Houston Rockets,Zhou Qi,22,11,0,5.3,0.4,1.8,.200,0.2,1.0,.182,0.2,0.8,.222,.250,0.5,0.5,.833,0.2,0.8,1.0,0.1,0.2,0.5,0.4,0.8,1.4
13,Houston Rockets,Troy Williams,23,4,0,4.3,0.5,2.3,.222,0.0,1.3,.000,0.5,1.0,.500,.222,0.3,0.8,.333,0.3,0.8,1.0,0.3,0.3,0.0,0.3,0.5,1.3
14,Houston Rockets,Isaiah Canaan,26,1,0,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Houston Rockets,Briante Weber,25,4,0,3.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.8,0.8,0.3,0.3,0.0,0.3,0.3,0.0
