,Team,Season,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Portland Trail Blazers,2017-2018,Damian Lillard,27,24,24,37.0,8.2,19.4,.422,2.6,7.8,.332,5.6,11.6,.482,.488,6.8,7.3,.926,1.1,4.1,5.2,6.3,1.0,0.5,3.0,1.5,25.7
1,Portland Trail Blazers,2017-2018,C.J. McCollum,26,23,23,36.4,7.8,17.6,.443,2.6,5.7,.455,5.2,11.8,.438,.517,2.5,2.9,.866,0.7,3.7,4.4,2.7,1.0,0.3,2.0,2.6,20.7
2,Portland Trail Blazers,2017-2018,Al-Farouq Aminu,27,11,9,29.5,3.4,7.3,.463,1.9,4.2,.457,1.5,3.1,.471,.594,0.9,1.1,.833,1.4,6.0,7.4,1.3,0.6,1.0,1.3,1.9,9.5
3,Portland Trail Blazers,2017-2018,Jusuf Nurkic,23,24,24,28.0,6.2,13.5,.455,0.0,0.2,.000,6.2,13.3,.463,.455,2.8,4.3,.644,1.8,5.9,7.8,2.0,0.8,1.3,3.0,3.1,15.1
4,Portland Trail Blazers,2017-2018,Evan Turner,29,24,1,26.0,3.0,7.7,.386,0.3,1.7,.195,2.6,6.0,.441,.408,1.4,1.7,.850,0.4,3.4,3.8,2.3,0.7,0.4,1.7,2.1,7.7
5,Portland Trail Blazers,2017-2018,Maurice Harkless,24,24,19,23.0,2.0,4.8,.414,0.4,1.6,.256,1.6,3.2,.494,.457,0.8,1.0,.750,0.8,2.4,3.2,0.6,0.8,0.9,0.8,1.7,5.2
6,Portland Trail Blazers,2017-2018,Noah Vonleh,22,17,12,21.7,2.1,3.9,.530,0.0,0.0,,2.1,3.9,.530,.530,0.9,1.2,.762,1.8,6.0,7.8,0.5,0.3,0.6,0.6,2.1,5.1
7,Portland Trail Blazers,2017-2018,Pat Connaughton,25,24,5,19.8,2.3,5.0,.446,1.3,2.9,.429,1.0,2.1,.471,.570,0.5,0.6,.929,0.3,2.1,2.3,1.2,0.2,0.3,0.7,1.2,6.3
8,Portland Trail Blazers,2017-2018,Ed Davis,28,24,0,17.3,1.8,3.6,.483,0.0,0.0,,1.8,3.6,.483,.483,1.1,1.6,.684,2.6,4.4,7.0,0.4,0.5,0.7,0.9,2.2,4.6
9,Portland Trail Blazers,2017-2018,Shabazz Napier,26,20,0,16.3,2.5,5.2,.471,0.9,1.8,.486,1.6,3.5,.464,.553,1.5,1.8,.857,0.3,1.6,1.9,1.5,1.1,0.1,0.7,1.0,7.3
10,Portland Trail Blazers,2017-2018,Meyers Leonard,25,9,0,10.1,2.2,3.8,.588,0.7,1.3,.500,1.6,2.4,.636,.676,0.6,0.8,.714,0.4,2.2,2.7,0.4,0.2,0.0,0.2,1.7,5.7
11,Portland Trail Blazers,2017-2018,Caleb Swanigan,20,13,3,9.8,1.1,3.1,.350,0.1,0.4,.200,1.0,2.7,.371,.363,0.6,1.0,.615,0.9,1.8,2.8,0.7,0.3,0.2,0.8,1.8,2.8
12,Portland Trail Blazers,2017-2018,Jake Layman,23,10,0,4.8,0.6,1.6,.375,0.2,0.6,.333,0.4,1.0,.400,.438,0.0,0.0,,0.0,0.5,0.5,0.2,0.3,0.2,0.0,0.5,1.4
13,Portland Trail Blazers,2017-2018,Zach Collins,20,8,0,4.6,0.1,1.1,.111,0.1,0.4,.333,0.0,0.8,.000,.167,0.0,0.0,,0.3,0.5,0.8,0.3,0.0,0.0,0.8,1.3,0.4
